CAD,T_adiabatic_K,T_heat_transfer_K,delta_T_K,p_adiabatic_Pa,p_heat_transfer_Pa,delta_p_Pa
-180.0,300.0,300.0,0.0,101325.0,101325.0,0.0
-170.0,300.646053,300.643802,-0.002251,102085.215,102084.451,-0.764
-160.0,302.610002,302.592591,-0.017411,104421.04,104415.03,-6.01
-150.0,305.970499,305.913118,-0.057381,108505.533,108485.159,-20.374
-140.0,310.863519,310.729981,-0.133538,114654.034,114604.643,-49.391
-130.0,317.490347,317.233011,-0.257336,123370.968,123270.45,-100.518
-120.0,326.129823,325.688778,-0.441045,135430.284,135245.566,-184.718
-110.0,337.156089,336.457357,-0.698732,152010.347,151691.24,-319.107
-100.0,351.063635,350.015972,-1.047663,174921.191,174389.52,-531.671
-90.0,368.501784,366.991424,-1.51036,206993.357,206123.329,-870.028
-80.0,390.319973,388.2025,-2.117473,252754.909,251336.584,-1418.325
-70.0,417.620447,414.709643,-2.910804,319623.167,317292.434,-2330.733
-60.0,451.797877,447.859805,-3.938072,419982.229,416084.567,-3897.662
-50.0,494.491613,489.423507,-5.068106,574569.85,567911.696,-6658.154
-40.0,547.222219,540.623493,-6.598726,816695.19,804914.222,-11780.968
-30.0,610.104032,601.031336,-9.072696,1191215.97,1169698.87,-21517.1
-20.0,678.461475,666.099372,-12.362103,1722040.19,1683373.54,-38666.65
-10.0,737.256489,721.125153,-16.131336,2297896.36,2235681.69,-62214.67
0.0,761.595586,742.094018,-19.501568,2572289.09,2491176.56,-81112.53
