CAD,T_mean_constant_properties_K,T_mean_variable_properties_K,delta_T_mean_K,delta_T_mean_pct,p_mean_constant_properties_Pa,p_mean_variable_properties_Pa,delta_p_mean_Pa,delta_p_mean_pct,T_min_constant_properties_K,T_min_variable_properties_K,T_max_constant_properties_K,T_max_variable_properties_K,extreme_cells_constant_properties,extreme_cells_variable_properties
-180.0,300.0,300.0,0.0,0.0,101325.0,101325.0,0.0,0.0,300.0,300.0,300.0,300.0,0,0
-170.0,302.178377,302.844933,0.666556,0.220584,102587.458,102794.274,206.816,0.2016,301.06511,301.22792,337.5394,355.48025,0,0
-160.0,305.573738,306.766843,1.193105,0.390447,105382.234,105735.432,353.198,0.335159,303.40341,303.66252,369.6684,396.92972,0,0
-150.0,310.241515,311.798872,1.557357,0.501982,109901.493,110355.443,453.95,0.413052,307.09168,307.38919,396.59221,426.12695,0,0
-140.0,316.307921,318.073111,1.76519,0.558061,116479.619,116999.729,520.11,0.446524,312.27212,312.55573,419.2665,446.95927,0,0
-130.0,323.974448,325.807284,1.832836,0.565735,125641.44,126199.177,557.737,0.443912,319.15333,319.36946,438.89793,462.84618,0,0
-120.0,333.525912,335.297248,1.771336,0.531094,138184.366,138751.163,566.797,0.410174,328.01604,328.1086,456.62276,476.13334,0,0
-110.0,345.343431,346.927477,1.584046,0.458687,155315.946,155855.307,539.361,0.347267,339.24021,339.13763,473.47562,491.16811,0,0
-100.0,359.930792,361.190425,1.259633,0.349965,178884.736,179338.386,453.65,0.253599,353.32355,352.92952,490.31218,505.81317,0,0
-90.0,377.944584,378.709575,0.764991,0.202408,211774.038,212036.249,262.211,0.123816,370.91705,370.09166,507.80075,519.84375,0,0
-80.0,400.238601,400.278075,0.039474,0.009863,258586.326,258459.737,-126.589,-0.048954,392.87256,391.41185,528.40827,533.89716,0,0
-70.0,427.910884,426.904508,-1.006376,-0.235184,326843.117,325941.87,-901.247,-0.275743,420.29286,417.87599,549.83716,548.43373,0,0
-60.0,462.334414,459.749326,-2.585088,-0.559138,429067.077,426555.642,-2511.435,-0.585325,454.56338,450.67681,571.7864,563.57898,0,0
-50.0,505.096193,500.052531,-5.043662,-0.998555,586149.054,580208.303,-5940.751,-1.013522,497.31097,491.12306,594.06879,583.63524,0,0
-40.0,557.61608,548.755898,-8.860182,-1.588939,831454.337,818175.751,-13278.586,-1.597031,550.0215,540.23502,639.25328,623.97311,0,0
-30.0,619.852083,605.23852,-14.613563,-2.357589,1209435.68,1180863.64,-28572.04,-2.362427,586.83917,562.31813,698.25508,678.23773,0,0
-20.0,686.976287,664.492754,-22.483533,-3.272825,1742399.58,1685368.46,-57031.12,-3.273137,575.99305,562.58596,772.49549,736.32691,0,0
-10.0,743.928747,713.113727,-30.81502,-4.1422,2316157.26,2220470.23,-95687.03,-4.131284,545.02431,557.14497,878.02496,785.334,0,0
0.0,765.712162,730.93689,-34.775272,-4.541559,2582808.27,2465450.63,-117357.64,-4.5438,546.79104,545.41668,842.76158,802.61063,0,0
10.0,738.903185,707.545411,-31.357774,-4.243827,2299800.3,2201875.9,-97924.4,-4.257952,531.88655,520.78046,811.16381,774.69065,0,0
20.0,678.712479,654.996907,-23.715572,-3.4942,1720328.48,1659961.44,-60367.04,-3.509041,499.70767,490.94425,743.25665,714.69087,0,0
30.0,609.936933,593.660413,-16.27652,-2.668558,1189500.05,1157617.25,-31882.8,-2.680353,469.60922,464.0783,665.93833,647.46267,0,0
40.0,547.164054,536.405698,-10.758356,-1.966203,815866.006,799754.621,-16111.385,-1.974759,439.78674,439.20096,595.07586,583.22867,0,0
50.0,494.770714,487.732934,-7.03778,-1.422433,574507.196,566294.333,-8212.863,-1.429549,413.12716,415.20504,537.45268,529.56141,0,0
60.0,452.515509,447.955494,-4.560015,-1.007704,420439.087,416170.83,-4268.257,-1.01519,384.22538,390.87912,490.78513,485.84123,0,0
70.0,418.839112,415.974509,-2.864603,-0.683939,320426.749,318205.708,-2221.041,-0.693151,361.67389,370.22072,453.2295,450.33437,0,0
80.0,392.097684,390.44303,-1.654654,-0.422,253808.143,252707.756,-1100.387,-0.433551,341.39883,351.43871,423.23991,441.18475,0,0
90.0,370.902404,370.15321,-0.749194,-0.201992,208246.673,207797.781,-448.892,-0.215558,320.03092,335.94465,410.78359,438.62229,0,0
100.0,354.159962,354.115411,-0.044551,-0.012579,176350.356,176305.788,-44.568,-0.025272,293.18455,323.03015,426.14081,437.85498,0,0
110.0,341.042808,341.545939,0.503131,0.147527,153602.251,153828.541,226.29,0.147322,250.88017,312.75299,495.76335,438.5133,0,0
120.0,331.017723,331.82629,0.808567,0.244267,137172.269,137599.933,427.664,0.311771,197.62378,304.17655,791.99407,440.30759,2,0
130.0,323.820651,324.471786,0.651135,0.201079,125237.339,125845.092,607.753,0.485281,164.50615,297.72246,860.69664,443.00887,26,0
140.0,318.608636,319.105498,0.496862,0.155947,116582.078,117405.86,823.782,0.706611,116.69045,292.97214,1153.1554,446.43797,46,0
150.0,313.926059,315.437986,1.511927,0.481619,110513.638,111520.962,1007.324,0.911493,108.87373,289.2184,1133.2583,450.45781,39,0
160.0,310.874787,313.254709,2.379922,0.765556,106580.139,107695.191,1115.052,1.04621,114.38778,286.8656,1013.9245,454.97099,35,0
170.0,309.360371,312.407157,3.046786,0.984866,104447.032,105621.012,1173.98,1.123996,128.40394,285.80445,838.99066,459.91353,28,0
180.0,309.254627,312.806109,3.551482,1.148401,103928.348,105132.909,1204.561,1.15903,148.58523,285.94062,739.1299,465.25373,25,0
