CAD,T_mean_original_K,T_mean_limitedLinear_K,delta_T_mean_K,delta_T_mean_pct,p_mean_original_Pa,p_mean_limitedLinear_Pa,delta_p_mean_Pa,delta_p_mean_pct,T_min_original_K,T_min_limitedLinear_K,T_max_original_K,T_max_limitedLinear_K,extreme_cells_original,extreme_cells_limitedLinear
90.0,370.902404,370.902404,0.0,0.0,208246.673,208246.673,0.0,0.0,320.03092,320.03092,410.78359,410.78359,0,0
100.0,354.159962,354.137113,-0.022849,-0.006452,176350.356,176371.799,21.443,0.012159,293.18455,322.53538,426.14081,409.54637,0,0
110.0,341.042808,341.004241,-0.038567,-0.011309,153602.251,153653.48,51.229,0.033352,250.88017,313.28789,495.76335,410.3563,0,0
120.0,331.017723,330.813876,-0.203847,-0.061582,137172.269,137263.993,91.724,0.066868,197.62378,305.78782,791.99407,412.71977,2,0
130.0,323.820651,323.05996,-0.760691,-0.234911,125237.339,125397.276,159.937,0.127707,164.50615,299.39474,860.69664,416.10513,26,0
140.0,318.608636,317.354791,-1.253845,-0.393538,116582.078,116877.639,295.561,0.253522,116.69045,294.77116,1153.1554,420.19822,46,0
150.0,313.926059,313.404112,-0.521947,-0.166264,110513.638,110933.442,419.804,0.379866,108.87373,291.15153,1133.2583,424.81849,39,0
160.0,310.874787,310.991138,0.116351,0.037427,106580.139,107062.903,482.764,0.452959,114.38778,288.81744,1013.9245,429.8336,35,0
170.0,309.360371,309.965753,0.605382,0.195688,104447.032,104954.07,507.038,0.48545,128.40394,287.75265,838.99066,435.15369,28,0
180.0,309.254627,310.237431,0.982804,0.317798,103928.348,104438.342,509.994,0.490717,148.58523,287.89862,739.1299,440.77825,25,0
