CAD,T_adiabatic_K,T_walls_300K_K,T_CFR_walls_K,delta_T_300K_K,delta_T_CFR_K,p_adiabatic_Pa,p_walls_300K_Pa,p_CFR_walls_Pa,delta_p_300K_Pa,delta_p_CFR_Pa
-180.0,300.0,300.0,300.0,0.0,0.0,101325.0,101325.0,101325.0,0.0,0.0
-170.0,300.646053,300.643802,302.178377,-0.002251,1.532324,102085.215,102084.451,102587.458,-0.764,502.243
-160.0,302.610002,302.592591,305.573738,-0.017411,2.963736,104421.04,104415.03,105382.234,-6.01,961.194
-150.0,305.970499,305.913118,310.241515,-0.057381,4.271016,108505.533,108485.159,109901.493,-20.374,1395.96
-140.0,310.863519,310.729981,316.307921,-0.133538,5.444402,114654.034,114604.643,116479.619,-49.391,1825.585
-130.0,317.490347,317.233011,323.974448,-0.257336,6.484101,123370.968,123270.45,125641.44,-100.518,2270.472
-120.0,326.129823,325.688778,333.525912,-0.441045,7.396089,135430.284,135245.566,138184.366,-184.718,2754.082
-110.0,337.156089,336.457357,345.343431,-0.698732,8.187342,152010.347,151691.24,155315.946,-319.107,3305.599
-100.0,351.063635,350.015972,359.930792,-1.047663,8.867157,174921.191,174389.52,178884.736,-531.671,3963.545
-90.0,368.501784,366.991424,377.944584,-1.51036,9.4428,206993.357,206123.329,211774.038,-870.028,4780.681
-80.0,390.319973,388.2025,400.238601,-2.117473,9.918628,252754.909,251336.584,258586.326,-1418.325,5831.417
-70.0,417.620447,414.709643,427.910884,-2.910804,10.290437,319623.167,317292.434,326843.117,-2330.733,7219.95
-60.0,451.797877,447.859805,462.334414,-3.938072,10.536537,419982.229,416084.567,429067.077,-3897.662,9084.848
-50.0,494.491613,489.423507,505.096193,-5.068106,10.60458,574569.85,567911.696,586149.054,-6658.154,11579.204
-40.0,547.222219,540.623493,557.61608,-6.598726,10.393861,816695.19,804914.222,831454.337,-11780.968,14759.147
-30.0,610.104032,601.031336,619.852083,-9.072696,9.748051,1191215.97,1169698.87,1209435.68,-21517.1,18219.71
-20.0,678.461475,666.099372,686.976287,-12.362103,8.514812,1722040.19,1683373.54,1742399.58,-38666.65,20359.39
-10.0,737.256489,721.125153,743.928747,-16.131336,6.672258,2297896.36,2235681.69,2316157.26,-62214.67,18260.9
0.0,761.595586,742.094018,765.712162,-19.501568,4.116576,2572289.09,2491176.56,2582808.27,-81112.53,10519.18
