CAD,T_mean_K,p_mean_Pa
-180.0,300.0,101325.0
-170.0,302.178377,102587.458
-160.0,305.573738,105382.234
-150.0,310.241515,109901.493
-140.0,316.307921,116479.619
-130.0,323.974448,125641.44
-120.0,333.525912,138184.366
-110.0,345.343431,155315.946
-100.0,359.930792,178884.736
-90.0,377.944584,211774.038
-80.0,400.238601,258586.326
-70.0,427.910884,326843.117
-60.0,462.334414,429067.077
-50.0,505.096193,586149.054
-40.0,557.61608,831454.337
-30.0,619.852083,1209435.68
-20.0,686.976287,1742399.58
-10.0,743.928747,2316157.26
0.0,765.712162,2582808.27
10.0,738.903185,2299800.3
20.0,678.712479,1720328.48
30.0,609.936933,1189500.05
40.0,547.164054,815866.006
50.0,494.770714,574507.196
60.0,452.515509,420439.087
70.0,418.839112,320426.749
80.0,392.097684,253808.143
90.0,370.902404,208246.673
100.0,354.159962,176350.356
110.0,341.042808,153602.251
120.0,331.017723,137172.269
130.0,323.820651,125237.339
140.0,318.608636,116582.078
150.0,313.926059,110513.638
160.0,310.874787,106580.139
170.0,309.360371,104447.032
180.0,309.254627,103928.348
