CAD,T_mean_K,p_mean_Pa
-180.0,300.0,101325.0
-170.0,302.844933,102794.274
-160.0,306.766843,105735.432
-150.0,311.798872,110355.443
-140.0,318.073111,116999.729
-130.0,325.807284,126199.177
-120.0,335.297248,138751.163
-110.0,346.927477,155855.307
-100.0,361.190425,179338.386
-90.0,378.709575,212036.249
-80.0,400.278075,258459.737
-70.0,426.904508,325941.87
-60.0,459.749326,426555.642
-50.0,500.052531,580208.303
-40.0,548.755898,818175.751
-30.0,605.23852,1180863.64
-20.0,664.492754,1685368.46
-10.0,713.113727,2220470.23
0.0,730.93689,2465450.63
10.0,707.545411,2201875.9
20.0,654.996907,1659961.44
30.0,593.660413,1157617.25
40.0,536.405698,799754.621
50.0,487.732934,566294.333
60.0,447.955494,416170.83
70.0,415.974509,318205.708
80.0,390.44303,252707.756
90.0,370.15321,207797.781
100.0,354.115411,176305.788
110.0,341.545939,153828.541
120.0,331.82629,137599.933
130.0,324.471786,125845.092
140.0,319.105498,117405.86
150.0,315.437986,111520.962
160.0,313.254709,107695.191
170.0,312.407157,105621.012
180.0,312.806109,105132.909
