CAD,T_min_K,T_max_K,cells_below_200K,pct_below_200K,cells_below_250K,pct_below_250K,cells_above_900K,pct_above_900K,cells_above_1000K,pct_above_1000K,extreme_cells,extreme_pct
-180.0,300.0,300.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-170.0,301.06511,337.5394,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-160.0,303.40341,369.6684,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-150.0,307.09168,396.59221,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-140.0,312.27212,419.2665,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-130.0,319.15333,438.89793,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-120.0,328.01604,456.62276,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-110.0,339.24021,473.47562,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-100.0,353.32355,490.31218,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-90.0,370.91705,507.80075,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-80.0,392.87256,528.40827,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-70.0,420.29286,549.83716,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-60.0,454.56338,571.7864,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-50.0,497.31097,594.06879,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-40.0,550.0215,639.25328,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-30.0,586.83917,698.25508,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-20.0,575.99305,772.49549,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-10.0,545.02431,878.02496,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0.0,546.79104,842.76158,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
10.0,531.88655,811.16381,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
20.0,499.70767,743.25665,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
30.0,469.60922,665.93833,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
40.0,439.78674,595.07586,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
50.0,413.12716,537.45268,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
60.0,384.22538,490.78513,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
70.0,361.67389,453.2295,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
80.0,341.39883,423.23991,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
90.0,320.03092,410.78359,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
100.0,293.18455,426.14081,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
110.0,250.88017,495.76335,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
120.0,197.62378,791.99407,1,0.020833,2,0.041667,0,0.0,0,0.0,2,0.041667
130.0,164.50615,860.69664,1,0.020833,26,0.541667,0,0.0,0,0.0,26,0.541667
140.0,116.69045,1153.1554,12,0.25,31,0.645833,15,0.3125,10,0.208333,46,0.958333
150.0,108.87373,1133.2583,11,0.229167,27,0.5625,12,0.25,5,0.104167,39,0.8125
160.0,114.38778,1013.9245,10,0.208333,29,0.604167,6,0.125,1,0.020833,35,0.729167
170.0,128.40394,838.99066,10,0.208333,28,0.583333,0,0.0,0,0.0,28,0.583333
180.0,148.58523,739.1299,10,0.208333,25,0.520833,0,0.0,0,0.0,25,0.520833
