CAD,T_min_K,T_max_K,cells_below_200K,pct_below_200K,cells_below_250K,pct_below_250K,cells_above_900K,pct_above_900K,cells_above_1000K,pct_above_1000K,extreme_cells,extreme_pct
-180.0,300.0,300.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-170.0,301.22792,355.48025,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-160.0,303.66252,396.92972,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-150.0,307.38919,426.12695,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-140.0,312.55573,446.95927,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-130.0,319.36946,462.84618,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-120.0,328.1086,476.13334,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-110.0,339.13763,491.16811,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-100.0,352.92952,505.81317,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-90.0,370.09166,519.84375,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-80.0,391.41185,533.89716,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-70.0,417.87599,548.43373,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-60.0,450.67681,563.57898,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-50.0,491.12306,583.63524,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-40.0,540.23502,623.97311,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-30.0,562.31813,678.23773,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-20.0,562.58596,736.32691,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
-10.0,557.14497,785.334,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
0.0,545.41668,802.61063,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
10.0,520.78046,774.69065,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
20.0,490.94425,714.69087,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
30.0,464.0783,647.46267,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
40.0,439.20096,583.22867,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
50.0,415.20504,529.56141,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
60.0,390.87912,485.84123,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
70.0,370.22072,450.33437,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
80.0,351.43871,441.18475,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
90.0,335.94465,438.62229,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
100.0,323.03015,437.85498,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
110.0,312.75299,438.5133,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
120.0,304.17655,440.30759,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
130.0,297.72246,443.00887,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
140.0,292.97214,446.43797,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
150.0,289.2184,450.45781,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
160.0,286.8656,454.97099,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
170.0,285.80445,459.91353,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
180.0,285.94062,465.25373,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
