CAD,Q_piston_W,Q_cylinderHead_W,Q_cylinderWall_W,Q_total_W
-180.0,1.036066,1.33844,4.206181,6.580687
-170.0,0.86867,1.111103,3.504878,5.484651
-160.0,0.728064,0.916051,2.853966,4.498082
-150.0,0.615027,0.752696,2.266297,3.63402
-140.0,0.525341,0.616802,1.740645,2.882788
-130.0,0.45028,0.501899,1.268101,2.22028
-120.0,0.380021,0.400233,0.842811,1.623065
-110.0,0.304622,0.303912,0.459973,1.068507
-100.0,0.214357,0.205782,0.110591,0.53073
-90.0,0.102424,0.091977,-0.208719,-0.014318
-80.0,0.018476,-0.054918,-0.497468,-0.53391
-70.0,-0.128901,-0.261856,-0.750008,-1.140764
-60.0,-0.48438,-0.568832,-0.95648,-2.009692
-50.0,-1.035586,-1.034365,-1.106124,-3.176075
-40.0,-1.813676,-1.742229,-1.191059,-4.746965
-30.0,-2.868898,-2.758837,-1.210896,-6.83863
-20.0,-4.093471,-3.949133,-1.178535,-9.22114
-10.0,-5.11876,-4.696837,-1.123077,-10.938674
0.0,-5.077959,-4.039147,-1.07921,-10.196317
10.0,-3.494356,-2.096014,-1.058195,-6.648565
20.0,-1.427865,-0.253965,-1.030961,-2.712791
30.0,-0.033196,0.771727,-0.949395,-0.210864
40.0,0.645219,1.181359,-0.778056,1.048522
50.0,0.919793,1.254667,-0.506633,1.667828
60.0,1.03108,1.192428,-0.147937,2.07557
70.0,1.037764,1.086596,0.26841,2.39277
80.0,0.994445,0.974708,0.703945,2.673098
90.0,0.926218,0.87084,1.11995,2.917008
100.0,0.855136,0.779121,1.483475,3.117731
110.0,0.784409,0.69968,1.770903,3.254993
120.0,0.718021,0.631267,1.969783,3.319071
130.0,0.657983,0.572259,2.07852,3.308762
140.0,0.602431,0.520982,2.104145,3.227557
150.0,0.549815,0.475941,2.05893,3.084687
160.0,0.499365,0.43582,1.956985,2.89217
170.0,0.449798,0.399432,1.811706,2.660936
180.0,0.39978,0.365663,1.634233,2.399676
