CAD,T_mean_K,T_max_K,p_mean_Pa,p_mean_bar
-180,300,300,101325,1.01325
-170,302.84493,355.48025,102794.27,1.0279427
-160,306.76684,396.92972,105735.43,1.0573543
-150,311.79887,426.12695,110355.44,1.1035544
-140,318.07311,446.95927,116999.73,1.1699973
-130,325.80728,462.84618,126199.18,1.2619918
-120,335.29725,476.13334,138751.16,1.3875116
-110,346.92748,491.16811,155855.31,1.5585531
-100,361.19042,505.81317,179338.39,1.7933839
-90,378.70958,519.84375,212036.25,2.1203625
-80,400.27808,533.89716,258459.74,2.5845974
-70,426.90451,548.43373,325941.87,3.2594187
-60,459.74933,563.57898,426555.64,4.2655564
-50,500.05253,583.63524,580208.3,5.802083
-40,548.7559,623.97311,818175.75,8.1817575
-30,605.23852,678.23773,1180863.6,11.808636
-20,664.49275,736.32691,1685368.5,16.853685
-10,713.11373,785.334,2220470.2,22.204702
0,730.93689,802.61063,2465450.6,24.654506
10,707.54541,774.69065,2201875.9,22.018759
20,654.99691,714.69087,1659961.4,16.599614
30,593.66041,647.46267,1157617.3,11.576173
40,536.4057,583.22867,799754.62,7.9975462
50,487.73293,529.56141,566294.33,5.6629433
60,447.95549,485.84123,416170.83,4.1617083
70,415.97451,450.33437,318205.71,3.1820571
80,390.44303,441.18475,252707.76,2.5270776
90,370.15321,438.62229,207797.78,2.0779778
100,354.11541,437.85498,176305.79,1.7630579
110,341.54594,438.5133,153828.54,1.5382854
120,331.82629,440.30759,137599.93,1.3759993
130,324.47179,443.00887,125845.09,1.2584509
140,319.1055,446.43797,117405.86,1.1740586
150,315.43799,450.45781,111520.96,1.1152096
160,313.25471,454.97099,107695.19,1.0769519
170,312.40716,459.91353,105621.01,1.0562101
180,312.80611,465.25373,105132.91,1.0513291
