CAD,Qloss_piston_W,Qloss_cylinderHead_W,Qloss_cylinderWall_W,Qloss_total_W,q_piston_W_m2,q_cylinderHead_W_m2,q_cylinderWall_W_m2
-180,-1.0360664,-1.3384396,-4.2061813,-6.5806873,-13955.567,-18028.461,-9197.8788
-170,-0.86866995,-1.1111027,-3.5048784,-5.48465105,-11700.776,-14966.288,-7705.2128
-160,-0.72806398,-0.91605146,-2.8539662,-4.49808164,-9806.8475,-12338.994,-6376.1407
-150,-0.61502697,-0.75269621,-2.2662969,-3.63402008,-8284.2661,-10138.638,-5203.4749
-140,-0.52534103,-0.61680153,-1.7406453,-2.88278786,-7076.2179,-8308.1689,-4156.5615
-130,-0.45027987,-0.50189906,-1.2681014,-2.22028033,-6065.162,-6760.4601,-3190.3679
-120,-0.38002112,-0.40023346,-0.84281077,-1.62306535,-5118.7936,-5391.0488,-2265.9988
-110,-0.3046223,-0.30391212,-0.45997297,-1.06850739,-4103.1895,-4093.6235,-1342.6994
-100,-0.21435701,-0.20578203,-0.11059055,-0.53072959,-2887.3377,-2771.8346,-356.76227
-90,-0.10242448,-0.091976632,0.20871892,0.014317808,-1379.6333,-1238.9032,759.07199
-80,-0.018475511,0.054917943,0.49746806,0.533910492,-248.86071,739.73154,2085.6833
-70,0.12890053,0.26185634,0.75000763,1.1407645,1736.2593,3527.1422,3716.4347
-60,0.48437973,0.56883219,0.95647973,2.00969165,6524.4789,7662.0335,5756.6103
-50,1.0355856,1.0343651,1.1061239,3.1760746,13949.09,13932.65,8321.3163
-40,1.8136765,1.7422291,1.1910592,4.7469648,24429.788,23467.409,11508.904
-30,2.8688976,2.758837,1.2108959,6.8386305,38643.363,37160.874,15307.271
-20,4.0934715,3.9491328,1.1785354,9.2211397,55138.081,53193.874,19367.118
-10,5.1187601,4.6968373,1.1230769,10.9386743,68948.473,63265.274,22663.432
0,5.0779592,4.0391473,1.0792102,10.1963167,68398.894,54406.347,23599.66
10,3.4943555,2.0960141,1.0581953,6.6485649,47068.133,28232.808,21354.135
20,1.4278651,0.2539648,1.0309611,2.712791,19233,3420.8451,16941.998
30,0.033195985,-0.77172725,0.94939495,0.210863685,447.14198,-10394.981,12001.565
40,-0.64521942,-1.1813586,0.77805642,-1.0485216,-8690.9511,-15912.618,7518.1625
50,-0.91979324,-1.2546673,0.50663294,-1.6678276,-12389.395,-16900.068,3811.3748
60,-1.0310796,-1.1924278,0.14793699,-2.07557041,-13888.395,-16061.717,890.3645
70,-1.0377635,-1.086596,-0.26841034,-2.39276984,-13978.427,-14636.188,-1330.0258
80,-0.99444488,-0.97470803,-0.70394537,-2.67309828,-13394.934,-13129.084,-2951.3595
90,-0.9262181,-0.87083985,-1.1199499,-2.91700785,-12475.936,-11730.004,-4073.05
100,-0.85513557,-0.77912077,-1.4834746,-3.11773094,-11518.471,-10494.57,-4785.6511
110,-0.78440917,-0.69968047,-1.7709034,-3.25499304,-10565.804,-9424.5284,-5169.4145
120,-0.7180209,-0.63126713,-1.9697833,-3.31907133,-9671.5697,-8503.0172,-5296.001
130,-0.65798321,-0.57225925,-2.0785199,-3.30876236,-8862.8764,-7708.1951,-5229.2689
140,-0.60243057,-0.52098205,-2.1041447,-3.22755732,-8114.5956,-7017.5036,-5024.5771
150,-0.54981549,-0.47594147,-2.0589301,-3.08468706,-7405.883,-6410.8177,-4727.3555
160,-0.49936512,-0.43581955,-1.956985,-2.89216967,-6726.3287,-5870.385,-4372.1653
170,-0.44979817,-0.39943159,-1.811706,-2.66093576,-6058.6737,-5380.2479,-3982.9
180,-0.39977955,-0.365663,-1.6342334,-2.39967595,-5384.9348,-4925.3931,-3573.6644
