CAD,Tmean_case07_K,Tmean_case08_K,delta_Tmean_K,Tmax_case07_K,Tmax_case08_K,delta_Tmax_K,pmean_case07_bar,pmean_case08_bar,delta_pmean_bar
-180,300,300,0,300,300,0,1.01325,1.01325,0
-170,302.84493,302.84902,0.00409,355.48025,355.66559,0.18534,1.0279427,1.0279548,1.21e-05
-160,306.76684,306.77275,0.00591,396.92972,397.21474,0.28502,1.0573543,1.0573686,1.43e-05
-150,311.79887,311.80383,0.00496,426.12695,426.4155,0.28855,1.1035544,1.1035615,7.1e-06
-140,318.07311,318.07494,0.00183,446.95927,447.20855,0.24928,1.1699973,1.1699898,-7.5e-06
-130,325.80728,325.80497,-0.00231,462.84618,463.04744,0.20126,1.2619918,1.2619652,-2.66e-05
-120,335.29725,335.29117,-0.00608,476.13334,476.29109,0.15775,1.3875116,1.387466,-4.56e-05
-110,346.92748,346.91997,-0.00751,491.16811,491.3599,0.19179,1.5585531,1.5584962,-5.69e-05
-100,361.19042,361.18626,-0.00416,505.81317,505.96266,0.14949,1.7933839,1.7933375,-4.64e-05
-90,378.70958,378.71628,0.0067,519.84375,519.95887,0.11512,2.1203625,2.1203723,9.8e-06
-80,400.27808,400.30722,0.02914,533.89716,533.98826,0.0911,2.5845974,2.5847535,0.0001561
-70,426.90451,426.96582,0.06131,548.43373,548.50133,0.0676,3.2594187,3.2598555,0.0004368
-60,459.74933,459.85118,0.10185,563.57898,563.61789,0.03891,4.2655564,4.2664725,0.0009161
-50,500.05253,500.193,0.14047,583.63524,583.72536,0.09012,5.802083,5.8036909,0.0016079
-40,548.7559,548.9122,0.1563,623.97311,624.1386,0.16549,8.1817575,8.1840735,0.002316
-30,605.23852,605.36037,0.12185,678.23773,678.29952,0.06179,11.808636,11.811004,0.002368
-20,664.49275,664.52369,0.03094,736.32691,736.21097,-0.11594,16.853685,16.854446,0.000761
-10,713.11373,713.90271,0.78898,785.334,786.42949,1.09549,22.204702,22.228984,0.024282
0,730.93689,995.76524,264.828,802.61063,1089.2414,286.631,24.654506,33.575157,8.92065
10,707.54541,2372.1858,1664.64,774.69065,2571.8771,1797.19,22.018759,73.628104,51.6093
20,654.99691,3416.5228,2761.53,714.69087,3698.6307,2983.94,16.599614,86.082016,69.4824
30,593.66041,3256.7902,2663.13,647.46267,3530.2011,2882.74,11.576173,62.949826,51.3737
40,536.4057,3001.6218,2465.22,583.22867,3251.672,2668.44,7.9975462,44.291429,36.2939
50,487.73293,2781.3448,2293.61,529.56141,3019.2779,2489.72,5.6629433,31.898716,26.2358
60,447.95549,2597.4083,2149.45,485.84123,2824.0809,2338.24,4.1617083,23.798704,19.637
70,415.97451,2445.2968,2029.32,450.33437,2663.9839,2213.65,3.1820571,18.423691,15.2416
80,390.44303,2319.7835,1929.34,441.18475,2533.6534,2092.47,2.5270776,14.770918,12.2438
90,370.15321,2216.2208,1846.07,438.62229,2426.1067,1987.48,2.0779778,12.226647,10.1487
100,354.11541,2130.7822,1776.67,437.85498,2337.4884,1899.63,1.7630579,10.414985,8.65193
110,341.54594,2060.4106,1718.86,438.5133,2264.7019,1826.19,1.5382854,9.1017835,7.5635
120,331.82629,2002.6809,1670.85,440.30759,2205.2771,1764.97,1.3759993,8.1379776,6.76198
130,324.47179,1955.6783,1631.21,443.00887,2157.2543,1714.25,1.2584509,7.4266627,6.16821
140,319.1055,1917.9089,1598.8,446.43797,2119.0943,1672.66,1.1740586,6.9037709,5.72971
150,315.43799,1888.2311,1572.79,450.45781,2089.5946,1639.14,1.1152096,6.5266043,5.41139
160,313.25471,1865.7902,1552.54,454.97099,2067.8726,1612.9,1.0769519,6.2668667,5.18991
170,312.40716,1849.9829,1537.58,459.91353,2053.3123,1593.4,1.0562101,6.1064454,5.05024
180,312.80611,1840.4317,1527.63,465.25373,2045.516,1580.26,1.0513291,6.034939,4.98361
