CAD,T_mean_K,T_max_K,p_mean_Pa,p_mean_bar
-180,300,300,101325,1.01325
-170,302.84902,355.66559,102795.48,1.0279548
-160,306.77275,397.21474,105736.86,1.0573686
-150,311.80383,426.4155,110356.15,1.1035615
-140,318.07494,447.20855,116998.98,1.1699898
-130,325.80497,463.04744,126196.52,1.2619652
-120,335.29117,476.29109,138746.6,1.387466
-110,346.91997,491.3599,155849.62,1.5584962
-100,361.18626,505.96266,179333.75,1.7933375
-90,378.71628,519.95887,212037.23,2.1203723
-80,400.30722,533.98826,258475.35,2.5847535
-70,426.96582,548.50133,325985.55,3.2598555
-60,459.85118,563.61789,426647.25,4.2664725
-50,500.193,583.72536,580369.09,5.8036909
-40,548.9122,624.1386,818407.35,8.1840735
-30,605.36037,678.29952,1181100.4,11.811004
-20,664.52369,736.21097,1685444.6,16.854446
-19,670.15888,741.95862,1741300.5,17.413005
-18,675.68148,747.46304,1797480.7,17.974807
-17,681.06613,752.88321,1853696.6,18.536966
-16,686.2916,758.10926,1909655.2,19.096552
-15,691.33652,763.31301,1965035.2,19.650352
-14,696.17829,768.31418,2019487.9,20.194879
-13,700.79455,773.06325,2072640.3,20.726403
-12,705.17348,777.54416,2124131.9,21.241319
-11,709.42796,781.87772,2173970.2,21.739702
-10,713.90271,786.42949,2222898.4,22.228984
-9,719.18083,791.80394,2272473.4,22.724734
-8,726.08052,798.9338,2325094.1,23.250941
-7,735.64346,809.09899,2383993.4,23.839934
-6,749.11616,823.50433,2453178.5,24.531785
-5,767.91538,843.71956,2537301.8,25.373018
-4,793.57861,871.42671,2641450,26.4145
-3,827.69487,908.24763,2770849.8,27.708498
-2,871.824,955.82486,2930510.4,29.305104
-1,927.41646,1015.7028,3124864.5,31.248645
0,995.76524,1089.2414,3357515.7,33.575157
1,1077.9387,1177.6678,3630953.6,36.309536
2,1174.5621,1281.449,3945761.8,39.457618
3,1285.792,1400.6326,4300536.3,43.005363
4,1411.271,1535.407,4691788.5,46.917885
5,1550.0866,1685.2617,5113922.2,51.139222
6,1700.7477,1847.9137,5559301.1,55.593011
7,1861.178,2021.078,6018436.6,60.184366
8,2028.7362,2201.846,6480283.8,64.802838
9,2200.2637,2386.756,6932662,69.32662
10,2372.1858,2571.8771,7362810.4,73.628104
11,2540.6577,2753.3011,7758075.8,77.580758
12,2701.7719,2926.7001,8106698.1,81.066981
13,2851.7936,3087.819,8398624.4,83.986244
14,2987.4257,3233.0307,8626254.6,86.262546
15,3106.0502,3359.6403,8785010.9,87.850109
16,3205.9159,3466.961,8873638.2,88.736382
17,3286.2546,3554.8317,8894182.2,88.941822
18,3347.2773,3621.8464,8851643.3,88.516433
19,3390.0929,3669.1364,8753357.7,87.533577
20,3416.5228,3698.6307,8608201.6,86.082016
21,3428.869,3712.8,8425733.7,84.257337
