CAD,Qloss_piston_W,Qloss_cylinderHead_W,Qloss_cylinderWall_W,Qloss_total_W,q_piston_W_m2,q_cylinderHead_W_m2,q_cylinderWall_W_m2
-180,-1.0394461,-1.3424893,-4.2217378,-6.6036732,-14001.09,-18083.009,-9231.897
-170,-0.87091165,-1.1133988,-3.5146568,-5.49896725,-11730.971,-14997.216,-7726.7098
-160,-0.72943947,-0.91706759,-2.8594725,-4.50597956,-9825.375,-12352.681,-6388.4425
-150,-0.61590781,-0.75287975,-2.2689625,-3.63775006,-8296.1308,-10141.11,-5209.5953
-140,-0.52590318,-0.61649832,-1.7415884,-2.8839899,-7083.7899,-8304.0848,-4158.8133
-130,-0.45062265,-0.50134544,-1.2675954,-2.21956349,-6069.7792,-6753.003,-3189.0949
-120,-0.38016265,-0.39956467,-0.84129326,-1.62102058,-5120.6999,-5382.0405,-2261.9188
-110,-0.30455685,-0.30321377,-0.45777072,-1.06554134,-4102.3078,-4084.217,-1336.2708
-100,-0.21408021,-0.20503972,-0.10796489,-0.52708482,-2883.6091,-2761.836,-348.29196
-90,-0.10224625,-0.091122747,0.2117407,0.018371703,-1377.2326,-1227.4016,770.06164
-80,-0.019035679,0.056056434,0.50092695,0.537947705,-256.40603,755.06675,2100.185
-70,0.13057539,0.26352264,0.75395828,1.14805631,1758.8192,3549.5868,3736.0109
-60,0.48817004,0.57134393,0.96086511,2.02037908,6575.5336,7695.8659,5783.0039
-50,1.0413139,1.0380906,1.1108156,3.1902201,14026.249,13982.832,8356.6112
-40,1.8222314,1.7476067,1.1958638,4.7657019,24545.021,23539.844,11555.329
-30,2.8810232,2.7659065,1.2155935,6.8625232,38806.693,37256.099,15366.654
-20,4.100064,3.9571705,1.1829738,9.2402083,55226.881,53302.139,19440.055
-19,4.1433595,4.0680887,1.1778631,9.3893113,55810.061,54796.181,19829.845
-18,4.2642473,4.1738407,1.1725511,9.6106391,57438.391,56220.635,20211.129
-17,4.3826364,4.2732028,1.1670678,9.822907,59033.063,57559.019,20582.184
-16,4.4962617,4.3657024,1.1614563,10.0234204,60563.569,58804.966,20941.376
-15,4.6057816,4.4502302,1.1557569,10.2117687,62038.776,59943.536,21287.024
-14,4.7093452,4.5248788,1.1500117,10.3842357,63433.753,60949.035,21617.356
-13,4.8068019,4.5891547,1.1442593,10.5402159,64746.471,61814.816,21930.584
-12,4.8973238,4.6416795,1.1385835,10.6775868,65965.78,62522.312,22225.768
-11,4.9849097,4.6885768,1.133567,10.8070535,67145.54,63154.007,22511.944
-10,5.0858767,4.7452112,1.1306707,10.9617586,68505.542,63916.859,22816.674
-9,5.2228576,4.8383716,1.1322082,11.1934374,70350.642,65171.707,23186.65
-8,5.4308984,5.0051612,1.14129,11.5773496,73152.901,67418.323,23687.503
-7,5.7509413,5.2910907,1.161783,12.203815,77463.803,71269.726,24403.252
-6,6.2341756,5.7485538,1.1982674,13.1809968,83972.853,77431.644,25435.417
